location "Amsterdam, Netherlands"
activity "Canal boat tour"
preference+ "Enjoys boat rides"
preference- "Dislikes swimming"
activity "Visit Van Gogh Museum"
preference+ "Enjoys art museums"
preference- "Dislikes museums"
activity "Explore Anne Frank House"
preference+ "Enjoys historical sites"
preference- "Dislikes crowded places"
activity "Bicycle tour of the city"
preference+ "Likes adventure sports"
preference- "Avoids strenuous activities"
activity "Tulip fields in Keukenhof Gardens"
preference+ "Likes to relax in nature"
preference- "Hates being outdoors"
