location "Rio de Janeiro, Brazil"
activity "Relax on Copacabana Beach"
preference+ "Loves beaches"
preference- "Dislikes sand"
activity "Hike up to Christ the Redeemer statue"
preference+ "Loves hiking"
preference- "Avoids strenuous activities"
activity "Attend Carnival festival"
preference+ "Enjoys cultural festivals"
preference- "Dislikes noisy environments"
activity "Samba dancing at nightclubs"
preference+ "Enjoys nightlife"
preference- "Avoids alcohol"
activity "Cable car ride to Sugarloaf Mountain"
preference+ "Likes adventure sports"
preference- "Afraid of heights"
